Player,Team,Credits,Total Points
Heinrich Klaasen,SRH,10,438
Anshul Kamboj,CSK,8.5,416
Shubman Gill,GT,10,414
Jos Buttler,GT,10,399
Rajat Patidar,RCB,9,394
Virat Kohli,RCB,11,393
Vaibhav Sooryavanshi,RR,9,388
Jamie Overton,CSK,8,387
Ishan Kishan,SRH,10.5,369
Dhruv Jurel,RR,9,358
Prabhsimran Singh,PBKS,9,355
Nitish Kumar Reddy,SRH,9,353
Phil Salt,RCB,9.5,348
Cooper Connolly,PBKS,7.5,348
Yashasvi Jaiswal,RR,10,346
Kagiso Rabada,GT,7.5,346
Prince Yadav,LSG,7,341
Shreyas Iyer,PBKS,10.5,336
Prasidh Krishna,GT,9,336
Bhuvneshwar Kumar,RCB,9,325
Priyansh Arya,PBKS,9.5,323
Angkrish Raghuvanshi,KKR,9,313
Ravi Bishnoi,RR,8.5,312
Ayush Mhatre,CSK,9,311
Abhishek Sharma,SRH,10.5,303
Sanju Samson,CSK,9.5,293
Jofra Archer,RR,9.5,290
Devdutt Padikkal,RCB,9,290
Cameron Green,KKR,8,285
Ravindra Jadeja,RR,10.5,280
Aiden Markram,LSG,10,279
Tim David,RCB,9,277
KL Rahul,DC,10,273
Tilak Varma,MI,10,270
Kartik Tyagi,KKR,7,270
Tristan Stubbs,DC,9,266
Rishabh Pant,LSG,9.5,263
Sarfaraz Khan,CSK,7,261
Naman Dhir,MI,9.5,255
Krunal Pandya,RCB,9,247
Washington Sundar,GT,8.5,247
Sunil Narine,KKR,10.5,246
Sameer Rizvi,DC,8.5,245
Eshan Malinga,SRH,8.5,242
Mitchell Marsh,LSG,10,241
Rinku Singh,KKR,9,241
Ajinkya Rahane,KKR,9,240
Hardik Pandya,MI,10.5,233
Mukul Choudhary,LSG,7,231
Shivam Dube,CSK,10,229
Rashid Khan,GT,9.5,225
Ayush Badoni,LSG,9,224
Lungi Ngidi,DC,8,224
Ryan Rickelton,MI,9,220
Sai Sudharsan,GT,10,218
Travis Head,SRH,10,215
Pathum Nissanka,DC,7,215
Vaibhav Arora,KKR,9,210
Anukul Roy,KKR,7.5,207
Rohit Sharma,MI,10,204
Arshdeep Singh,PBKS,10,202
Axar Patel,DC,9.5,201
Mohammed Siraj,GT,9.5,198
Rovman Powell,KKR,8,195
Suryakumar Yadav,MI,10.5,193
Quinton de Kock,MI,8,188
Mukesh Kumar,DC,8.5,187
Marco Jansen,PBKS,9.5,185
David Miller,DC,9,182
Mohammad Shami,LSG,8.5,182
Sherfane Rutherford,MI,8,181
Shivang Kumar,SRH,7.5,181
Nandre Burger,RR,7,181
Harsh Dubey,SRH,8.5,180
Xavier Bartlett,PBKS,7,179
Vijaykumar Vyshak,PBKS,8,178
Ramandeep Singh,KKR,7.5,175
Kuldeep Yadav,DC,9.5,172
Shashank Singh,PBKS,9,170
Rasikh Salam,RCB,7.5,169
Varun Chakaravarthy,KKR,10,167
Noor Ahmad,CSK,9,166
Jacob Duffy,RCB,7,166
