Player,Team,Credits,Total Points
Abhishek Sharma,SRH,10.5,598
Vaibhav Sooryavanshi,RR,9,560
Heinrich Klaasen,SRH,10,552
KL Rahul,DC,10,546
Virat Kohli,RCB,11,544
Shubman Gill,GT,10,518
Ishan Kishan,SRH,10.5,517
Jos Buttler,GT,10,507
Sai Sudharsan,GT,10,488
Sanju Samson,CSK,9.5,487
Prabhsimran Singh,PBKS,9,476
Dhruv Jurel,RR,9,471
Anshul Kamboj,CSK,8.5,467
Jofra Archer,RR,9.5,461
Devdutt Padikkal,RCB,9,458
Jamie Overton,CSK,8,456
Bhuvneshwar Kumar,RCB,9,451
Shreyas Iyer,PBKS,10.5,450
Nitish Kumar Reddy,SRH,9,448
Kagiso Rabada,GT,7.5,445
Eshan Malinga,SRH,8.5,416
Rajat Patidar,RCB,9,412
Prince Yadav,LSG,7,409
Yashasvi Jaiswal,RR,10,398
Rinku Singh,KKR,9,393
Priyansh Arya,PBKS,9.5,392
Cooper Connolly,PBKS,7.5,378
Ravindra Jadeja,RR,10.5,371
Cameron Green,KKR,8,364
Ravi Bishnoi,RR,8.5,361
Rishabh Pant,LSG,9.5,353
Phil Salt,RCB,9.5,348
Aiden Markram,LSG,10,338
Mitchell Marsh,LSG,10,334
Prasidh Krishna,GT,9,334
Tilak Varma,MI,10,328
Angkrish Raghuvanshi,KKR,9,327
Sameer Rizvi,DC,8.5,324
Mohsin Khan,LSG,7.5,323
Krunal Pandya,RCB,9,322
Tristan Stubbs,DC,9,320
Ayush Mhatre,CSK,9,311
Tim David,RCB,9,297
Kartik Tyagi,KKR,7,297
Sarfaraz Khan,CSK,7,292
Sunil Narine,KKR,10.5,291
Washington Sundar,GT,8.5,290
Rashid Khan,GT,9.5,289
Nitish Rana,DC,8.5,286
Travis Head,SRH,10,280
Ruturaj Gaikwad,CSK,9,279
Naman Dhir,MI,9.5,277
Josh Hazlewood,RCB,10,272
Donovan Ferreira,RR,7.5,271
Shivam Dube,CSK,10,269
Vaibhav Arora,KKR,9,266
Ayush Badoni,LSG,9,266
Harsh Dubey,SRH,8.5,265
Mohammad Shami,LSG,8.5,262
Mohammed Siraj,GT,9.5,260
Mukul Choudhary,LSG,7,257
Axar Patel,DC,9.5,255
Ajinkya Rahane,KKR,9,254
Noor Ahmad,CSK,9,251
Pathum Nissanka,DC,7,246
Kuldeep Yadav,DC,9.5,244
Suryakumar Yadav,MI,10.5,242
Anukul Roy,KKR,7.5,242
AM Ghazanfar,MI,7,240
Brijesh Sharma,RR,7,238
Nandre Burger,RR,7,235
Hardik Pandya,MI,10.5,232
Lungi Ngidi,DC,8,230
Sakib Hussain,SRH,7,227
Arshdeep Singh,PBKS,10,225
Varun Chakaravarthy,KKR,10,221
Quinton de Kock,MI,8,221
Ryan Rickelton,MI,9,220
David Miller,DC,9,217
Riyan Parag,RR,9,216
Akeal Hosein,CSK,7.5,212
Rovman Powell,KKR,8,208
Rohit Sharma,MI,10,204
Shashank Singh,PBKS,9,203
Suyash Sharma,RCB,8,202
Xavier Bartlett,PBKS,7,202
Rasikh Salam,RCB,7.5,200
Jitesh Sharma,RCB,9,197
Mitchell Santner,MI,9,194
Marco Jansen,PBKS,9.5,185
Mukesh Kumar,DC,8.5,183
Sherfane Rutherford,MI,8,183
Ramandeep Singh,KKR,7.5,181
Shivang Kumar,SRH,7.5,177
Vijaykumar Vyshak,PBKS,8,176
Dewald Brevis,CSK,9,175
Praful Hinge,SRH,7,174
Aniket Verma,SRH,9,170
Ashwani Kumar,MI,8.5,169
Jacob Duffy,RCB,7,166
Shardul Thakur,MI,9,165
Glenn Phillips,GT,8,165
Ashok Sharma,GT,7,165
Avesh Khan,LSG,8,164
Nicholas Pooran,LSG,10.5,163
Romario Shepherd,RCB,8.5,163
Sandeep Sharma,RR,8,163
Shimron Hetmyer,RR,9.5,158
Jaydev Unadkat,SRH,7,144
T Natarajan,DC,7.5,139
Finn Allen,KKR,7,138
Salil Arora,SRH,7,133
Yuzvendra Chahal,PBKS,9.5,132
Gurjapneet Singh,CSK,7,127
Manimaran Siddharth,LSG,7.5,124
Nehal Wadhera,PBKS,9.5,121
Tushar Deshpande,RR,8.5,118
Digvesh Singh,LSG,9,115
Abdul Samad,LSG,8,115
Jasprit Bumrah,MI,11,110
Blessing Muzarabani,KKR,7.5,110
Marcus Stoinis,PBKS,9,104
Rahul Tewatia,GT,9,99
Shahrukh Khan,GT,8.5,99
Mukesh Choudhary,CSK,7.5,97
Jason Holder,GT,8,95
Abhinandan Singh,RCB,7,91
Kartik Sharma,CSK,7.5,89
George Linde,LSG,7.5,78
Vipraj Nigam,DC,9,74
Prashant Veer,CSK,8,72
Khaleel Ahmed,CSK,9.5,70
Matt Henry,CSK,7.5,68
Tim Seifert,KKR,7.5,67
Himmat Singh,LSG,7,67
Manav Suthar,GT,7,66
Arshad Khan,GT,8,60
Jacob Bethell,RCB,7.5,58
Liam Livingstone,SRH,9,57
Ashutosh Sharma,DC,9,56
David Payne,SRH,7,54
Matthew Short,CSK,7.5,53
Deepak Chahar,MI,9.5,48
Dilshan Madushanka,SRH,7,45
Venkatesh Iyer,RCB,9,44
Abishek Porel,DC,8.5,41
Trent Boult,MI,10,40
Pat Cummins,SRH,9.5,39
Yash Punja,RR,7,39
Kyle Jamieson,DC,8,38
Corbin Bosch,MI,7.5,36
Kumar Kushagra,GT,7,33
Shubham Dubey,RR,7.5,32
Shahbaz Ahmed,LSG,8,20
Krish Bhagat,MI,7,15
Mayank Markande,MI,7.5,12
Karun Nair,DC,8,10
Harshal Patel,SRH,9.5,9
Urvil Patel,CSK,8,9
Danish Malewar,MI,7,8
Rahul Chahar,CSK,7,8
Auqib Nabi,DC,7.5,5
Dushmantha Chameera,DC,8,4
Mayank Rawat,MI,7.5,4
Mayank Yadav,LSG,7.5,4
Anrich Nortje,LSG,7,4
Navdeep Saini,KKR,7.5,2
Lhuan-dre Pretorius,RR,7,2
Sahil Parakh,DC,7,2
Mitchell Starc,DC,10,0
Sai Kishore,GT,9.5,0
Wanindu Hasaranga,LSG,9,0
Azmatullah Omarzai,PBKS,9,0
Matheesha Pathirana,KKR,9,0
Rachin Ravindra,KKR,9,0
Harshit Rana,KKR,9,0
Will Jacks,MI,9,0
Kamindu Mendis,SRH,8.5,0
Josh Inglis,LSG,8.5,0
Harpreet Brar,PBKS,8.5,0
Sam Curran,RR,8.5,0
MS Dhoni,CSK,8.5,0
Arshin Kulkarni,LSG,8,0
Akash Singh,LSG,8,0
Dasun Shanaka,RR,8,0
Vignesh Puthur,RR,8,0
Ishant Sharma,GT,8,0
Lockie Ferguson,PBKS,8,0
Manish Pandey,KKR,8,0
Rahul Tripathi,KKR,8,0
Yash Dayal,RCB,8,0
Gerald Coetzee,SRH,7.5,0
Akash Madhwal,CSK,7.5,0
Aman Khan,CSK,7.5,0
Atharva Ankolekar,MI,7.5,0
Raj Bawa,MI,7.5,0
Ben Dwarshuis,PBKS,7.5,0
Zakary Foulkes,CSK,7.5,0
Ajay Mandal,DC,7.5,0
Madhav Tiwari,DC,7.5,0
Krains Fuletra,SRH,7.5,0
Sarthak Ranjan,KKR,7.5,0
Satvik Deswal,RCB,7.5,0
Tripurana Vijay,DC,7.5,0
Daksh Kamra,KKR,7.5,0
Nishant Sindhu,GT,7.5,0
Kanishk Chouhan,RCB,7.5,0
Jack Edwards,SRH,7.5,0
Vihaan Malhotra,RCB,7.5,0
Yudhvir Singh,RR,7.5,0
Suryansh Shedge,PBKS,7.5,0
Shreyas Gopal,CSK,7.5,0
Kuldeep Sen,RR,7.5,0
