Player,Role,Foreign
Ajinkya Rahane,Batsman,No
Rinku Singh,Batsman,No
Angkrish Raghuvanshi,Batsman,No
Manish Pandey,Batsman,No
Finn Allen,WK,Yes
Tejasvi Singh,WK,No
Rahul Tripathi,Batsman,No
Tim Seifert,WK,Yes
Rovman Powell,Batsman,Yes
Anukul Roy,AR,No
Cameron Green,AR,Yes
Sarthak Ranjan,AR,No
Daksh Kamra,AR,No
Rachin Ravindra,AR,Yes
Ramandeep Singh,AR,No
Sunil Narine,AR,Yes
Blessing Muzarabani,Bowler,Yes
Vaibhav Arora,Bowler,No
Matheesha Pathirana,Bowler,Yes
Kartik Tyagi,Bowler,No
Prashant Solanki,Bowler,No
Saurabh Dubey,Bowler,No
Navdeep Saini,Bowler,No
Umran Malik,Bowler,No
Varun Chakaravarthy,Bowler,No
Shubman Gill,Batsman,No
Jos Buttler,WK,Yes
Kumar Kushagra,WK,No
Anuj Rawat,WK,No
Tom Banton,WK,Yes
Glenn Phillips,Batsman,Yes
Sai Sudharsan,Batsman,No
Nishant Sindhu,AR,No
Washington Sundar,AR,No
Mohd. Arshad Khan,AR,No
Sai Kishore,AR,No
Jayant Yadav,AR,No
Jason Holder,AR,Yes
Rahul Tewatia,AR,No
Shahrukh Khan,AR,No
Kagiso Rabada,Bowler,Yes
Mohammed Siraj,Bowler,No
Prasidh Krishna,Bowler,No
Manav Suthar,Bowler,No
Gurnoor Singh Brar,Bowler,No
Ishant Sharma,Bowler,No
Ashok Sharma,Bowler,No
Luke Wood,Bowler,Yes
Kulwant Khejroliya,Bowler,No
Rashid Khan,Bowler,Yes
KL Rahul,WK,No
Karun Nair,Batsman,No
David Miller,Batsman,Yes
Ben Duckett,WK,Yes
Pathum Nissanka,Batsman,Yes
Sahil Parakh,Batsman,No
Prithvi Shaw,Batsman,No
Abishek Porel,WK,No
Tristan Stubbs,WK,Yes
Axar Patel,AR,No
Sameer Rizvi,AR,No
Ashutosh Sharma,AR,No
Vipraj Nigam,AR,No
Ajay Mandal,AR,No
Tripurana Vijay,AR,No
Madhav Tiwari,AR,No
Nitish Rana,AR,No
Mitchell Starc,Bowler,Yes
T. Natarajan,Bowler,No
Mukesh Kumar,Bowler,No
Dushmantha Chameera,Bowler,Yes
Auqib Nabi,Bowler,No
Lungisani Ngidi,Bowler,Yes
Kyle Jamieson,Bowler,Yes
Kuldeep Yadav,Bowler,No
Ruturaj Gaikwad,Batsman,No
MS Dhoni,WK,No
Sanju Samson,WK,No
Dewald Brevis,Batsman,Yes
Ayush Mhatre,Batsman,No
Kartik Sharma,WK,No
Sarfaraz Khan,Batsman,No
Urvil Patel,WK,No
Jamie Overton,AR,Yes
Ramakrishna Ghosh,AR,No
Prashant Veer,AR,No
Matthew William Short,AR,Yes
Aman Khan,AR,No
Zak Foulkes,AR,Yes
Shivam Dube,AR,No
Khaleel Ahmed,Bowler,No
Noor Ahmad,Bowler,Yes
Anshul Kamboj,Bowler,No
Mukesh Choudhary,Bowler,No
Shreyas Gopal,Bowler,No
Gurjapneet Singh,Bowler,No
