Date,Rank,Team,Best XI Points,Avg Per Player
2026-04-06,1,GT,1380,125.5
2026-04-06,2,SRH,1212,110.2
2026-04-06,3,PBKS,1210,110.0
2026-04-06,4,KKR,1077,97.9
2026-04-06,5,MI,873,79.4
2026-04-06,6,RCB,872,79.3
2026-04-06,7,DC,854,77.6
2026-04-06,8,RR,825,75.0
2026-04-06,9,CSK,690,62.7
2026-04-07,1,GT,1494,135.8
2026-04-07,2,SRH,1251,113.7
2026-04-07,3,PBKS,1243,113.0
2026-04-07,4,KKR,1089,99.0
2026-04-07,5,RCB,896,81.5
2026-04-07,6,MI,881,80.1
2026-04-07,7,DC,858,78.0
2026-04-07,8,RR,839,76.3
2026-04-07,9,CSK,756,68.7
2026-04-08,1,GT,1711,155.5
2026-04-08,2,SRH,1493,135.7
2026-04-08,3,PBKS,1259,114.5
2026-04-08,4,KKR,1231,111.9
2026-04-08,5,DC,1083,98.5
2026-04-08,6,MI,1070,97.3
2026-04-08,7,CSK,923,83.9
2026-04-08,8,RCB,916,83.3
2026-04-08,9,RR,913,83.0
2026-04-09,1,GT,1760,160.0
2026-04-09,2,SRH,1563,142.1
2026-04-09,3,KKR,1392,126.5
2026-04-09,4,PBKS,1271,115.5
2026-04-09,5,DC,1174,106.7
2026-04-09,6,MI,1085,98.6
2026-04-09,7,RCB,1009,91.7
2026-04-09,8,CSK,986,89.6
2026-04-09,9,RR,944,85.8
2026-04-10,1,GT,1902,172.9
2026-04-10,2,SRH,1722,156.5
2026-04-10,3,KKR,1470,133.6
2026-04-10,4,PBKS,1292,117.5
2026-04-10,5,DC,1176,106.9
2026-04-10,6,MI,1171,106.5
2026-04-10,7,CSK,1167,106.1
2026-04-10,8,RCB,1099,99.9
2026-04-10,9,RR,999,90.8
2026-04-11,1,GT,2273,206.6
2026-04-11,2,SRH,1762,160.2
2026-04-11,3,KKR,1568,142.5
2026-04-11,4,PBKS,1539,139.9
2026-04-11,5,MI,1478,134.4
2026-04-11,6,DC,1358,123.5
2026-04-11,7,CSK,1277,116.1
2026-04-11,8,RR,1169,106.3
2026-04-11,9,RCB,1129,102.6
2026-04-12,1,GT,2445,222.3
2026-04-12,2,SRH,2146,195.1
2026-04-12,3,KKR,1796,163.3
2026-04-12,4,PBKS,1661,151.0
2026-04-12,5,MI,1624,147.6
2026-04-12,6,DC,1596,145.1
